"corte","antropologos","total_peritos","porcentaje_antropologos"
"La Serena","12","1692","0.71"
"Temuco","11","1732","0.64"
"Copiapó","8","1283","0.62"
"Iquique","8","1369","0.58"
"Concepción","12","2066","0.58"
"Valdivia","9","1590","0.57"
"Arica","7","1284","0.55"
"Antofagasta","7","1445","0.48"
"Santiago","17","3907","0.44"
"Puerto Montt","7","1621","0.43"
"Punta Arenas","5","1169","0.43"
"Coyhaique","5","1331","0.38"
"Chillán","6","1702","0.35"
"Talca","6","1768","0.34"
"Valparaíso","9","2637","0.34"
"Rancagua","7","2317","0.30"
"San Miguel","7","2399","0.29"
